"","subID","time","block","difficulty","diffQ","diff","method","region","slopes","ints"
"51","a01","prac","b07","P3","Q2",6,"LMER","parietal",-1.411979715,3.314464799
"52","a01","prac","b07","P3","Q2",6,"LMER","occipital",-1.384995874,3.269656283
"53","a01","prac","b07","P3","Q2",6,"FOOOF","frontal",-0.480062092,0.350434978
"54","a01","prac","b07","P3","Q2",6,"FOOOF","central",-1.294717019,1.290933201
"55","a01","prac","b07","P3","Q2",6,"FOOOF","parietal",-1.363407307,1.318624265
"56","a01","prac","b07","P3","Q2",6,"FOOOF","occipital",-1.379367081,1.322416629
"57","a01","prac","b08","P3","Q2",6,"LMER","frontal",-0.816020081,1.583351752
"58","a01","prac","b08","P3","Q2",6,"LMER","central",-1.447598863,3.390652057
"59","a01","prac","b08","P3","Q2",6,"LMER","parietal",-1.574113392,3.659061926
"60","a01","prac","b08","P3","Q2",6,"LMER","occipital",-1.503518111,3.470383042
"61","a01","prac","b08","P3","Q2",6,"FOOOF","frontal",-0.74829924,0.622108675
"62","a01","prac","b08","P3","Q2",6,"FOOOF","central",-1.412705074,1.397430816
"63","a01","prac","b08","P3","Q2",6,"FOOOF","parietal",-1.553936292,1.484862137
"64","a01","prac","b08","P3","Q2",6,"FOOOF","occipital",-1.566316717,1.478026543
"65","a01","prac","b09","P3","Q2",6,"LMER","frontal",-0.889585957,1.826066431
"66","a01","prac","b09","P3","Q2",6,"LMER","central",-1.500112569,3.571522515
"67","a01","prac","b09","P3","Q2",6,"LMER","parietal",-1.621482661,3.821618526
"68","a01","prac","b09","P3","Q2",6,"LMER","occipital",-1.55571963,3.611940782
"69","a01","prac","b09","P3","Q2",6,"FOOOF","frontal",-0.818000557,0.713511615
"70","a01","prac","b09","P3","Q2",6,"FOOOF","central",-1.468849175,1.455785954
"71","a01","prac","b09","P3","Q2",6,"FOOOF","parietal",-1.592365071,1.527033226
"72","a01","prac","b09","P3","Q2",6,"FOOOF","occipital",-1.5557071,1.442364797
"73","a01","prac","b10","P3","Q2",6,"LMER","frontal",-0.898393914,1.749338789
"74","a01","prac","b10","P3","Q2",6,"LMER","central",-1.604728132,3.671057556
"75","a01","prac","b10","P3","Q2",6,"LMER","parietal",-1.737073369,3.938039625
"76","a01","prac","b10","P3","Q2",6,"LMER","occipital",-1.68396905,3.759489377
"77","a01","prac","b10","P3","Q2",6,"FOOOF","frontal",-0.828893306,0.6937629
"78","a01","prac","b10","P3","Q2",6,"FOOOF","central",-1.52591322,1.453844233
"79","a01","prac","b10","P3","Q2",6,"FOOOF","parietal",-1.75393958,1.643133754
"80","a01","prac","b10","P3","Q2",6,"FOOOF","occipital",-1.782753677,1.621693018
"81","a01","prac","b11","E1","Q3",7,"LMER","frontal",-0.800892528,1.601297686
"82","a01","prac","b11","E1","Q3",7,"LMER","central",-1.443336047,3.380927327
"83","a01","prac","b11","E1","Q3",7,"LMER","parietal",-1.547385981,3.570987954
"84","a01","prac","b11","E1","Q3",7,"LMER","occipital",-1.483095065,3.403575663
"85","a01","prac","b11","E1","Q3",7,"FOOOF","frontal",-0.723763453,0.611507834
"86","a01","prac","b11","E1","Q3",7,"FOOOF","central",-1.436717473,1.402853677
"87","a01","prac","b11","E1","Q3",7,"FOOOF","parietal",-1.549179146,1.468967752
"88","a01","prac","b11","E1","Q3",7,"FOOOF","occipital",-1.528675013,1.417962827
"89","a01","prac","b12","E1","Q3",7,"LMER","frontal",-0.963283484,2.039446834
"90","a01","prac","b12","E1","Q3",7,"LMER","central",-1.481960625,3.60343806
"91","a01","prac","b12","E1","Q3",7,"LMER","parietal",-1.547598981,3.724651694
"92","a01","prac","b12","E1","Q3",7,"LMER","occipital",-1.427047813,3.387877238
"93","a01","prac","b12","E1","Q3",7,"FOOOF","frontal",-0.652126506,0.506957684
"94","a01","prac","b12","E1","Q3",7,"FOOOF","central",-1.440231467,1.487895292
"95","a01","prac","b12","E1","Q3",7,"FOOOF","parietal",-1.533790282,1.548701451
"96","a01","prac","b12","E1","Q3",7,"FOOOF","occipital",-1.436249575,1.410282617
"97","a01","prac","b13","E1","Q3",7,"LMER","frontal",-0.92809787,1.847449478
"98","a01","prac","b13","E1","Q3",7,"LMER","central",-1.473008631,3.485200959
"99","a01","prac","b13","E1","Q3",7,"LMER","parietal",-1.566037764,3.724518391
"100","a01","prac","b13","E1","Q3",7,"LMER","occipital",-1.509437067,3.572047444
"101","a01","prac","b13","E1","Q3",7,"FOOOF","frontal",-0.997827303,0.821143202
"102","a01","prac","b13","E1","Q3",7,"FOOOF","central",-1.432294839,1.42636437
"103","a01","prac","b13","E1","Q3",7,"FOOOF","parietal",-1.548640635,1.524952936
"104","a01","prac","b13","E1","Q3",7,"FOOOF","occipital",-1.547974933,1.494029076
"105","a01","prac","b14","E1","Q3",7,"LMER","frontal",-0.947478398,1.985359501
"106","a01","prac","b14","E1","Q3",7,"LMER","central",-1.577808465,3.74308874
"107","a01","prac","b14","E1","Q3",7,"LMER","parietal",-1.637352394,3.863126714
"108","a01","prac","b14","E1","Q3",7,"LMER","occipital",-1.539079149,3.595461364
"109","a01","prac","b14","E1","Q3",7,"FOOOF","frontal",-0.657065441,0.506608942
"110","a01","prac","b14","E1","Q3",7,"FOOOF","central",-1.541725797,1.551849952
"111","a01","prac","b14","E1","Q3",7,"FOOOF","parietal",-1.600211361,1.586958437
"112","a01","prac","b14","E1","Q3",7,"FOOOF","occipital",-1.505858458,1.465409897
"113","a01","prac","b15","E1","Q3",7,"LMER","frontal",-0.983930243,2.066558031
"114","a01","prac","b15","E1","Q3",7,"LMER","central",-1.525507305,3.677598317
"115","a01","prac","b15","E1","Q3",7,"LMER","parietal",-1.586394892,3.754149678
"116","a01","prac","b15","E1","Q3",7,"LMER","occipital",-1.48191254,3.452782062
"117","a01","prac","b15","E1","Q3",7,"FOOOF","frontal",-0.914703153,0.814080612
"118","a01","prac","b15","E1","Q3",7,"FOOOF","central",-1.522203955,1.538760396
"119","a01","prac","b15","E1","Q3",7,"FOOOF","parietal",-1.572586261,1.539110094
"120","a01","prac","b15","E1","Q3",7,"FOOOF","occipital",-1.527355631,1.447960994
"121","a01","prac","b16","E1","Q3",7,"LMER","frontal",-0.877931064,1.82505532
"122","a01","prac","b16","E1","Q3",7,"LMER","central",-1.547208845,3.713895651
"123","a01","prac","b16","E1","Q3",7,"LMER","parietal",-1.6965797,4.067207294
"124","a01","prac","b16","E1","Q3",7,"LMER","occipital",-1.630962763,3.859485275
"125","a01","prac","b16","E1","Q3",7,"FOOOF","frontal",-1.065326064,0.932982749
"126","a01","prac","b16","E1","Q3",7,"FOOOF","central",-1.566110722,1.581538901
"127","a01","prac","b16","E1","Q3",7,"FOOOF","parietal",-1.665602261,1.686750498
"128","a01","prac","b16","E1","Q3",7,"FOOOF","occipital",-1.661828859,1.623907108
"129","a01","prac","b17","E1","Q3",7,"LMER","frontal",-0.934543449,1.878898329
"130","a01","prac","b17","E1","Q3",7,"LMER","central",-1.504206473,3.542401146
"131","a01","prac","b17","E1","Q3",7,"LMER","parietal",-1.637660545,3.829550192
"132","a01","prac","b17","E1","Q3",7,"LMER","occipital",-1.585304153,3.687893006
"133","a01","prac","b17","E1","Q3",7,"FOOOF","frontal",-0.858847079,0.710600963
"134","a01","prac","b17","E1","Q3",7,"FOOOF","central",-1.469288922,1.447669002
"135","a01","prac","b17","E1","Q3",7,"FOOOF","parietal",-1.710492096,1.636097695
"136","a01","prac","b17","E1","Q3",7,"FOOOF","occipital",-1.702307723,1.604403615
"137","a01","prac","b18","E2","Q3",8,"LMER","frontal",-0.879887111,1.783838322
"138","a01","prac","b18","E2","Q3",8,"LMER","central",-1.51920701,3.602343417
"139","a01","prac","b18","E2","Q3",8,"LMER","parietal",-1.633261205,3.788295195
"140","a01","prac","b18","E2","Q3",8,"LMER","occipital",-1.566782211,3.611384492
"141","a01","prac","b18","E2","Q3",8,"FOOOF","frontal",-0.802533757,0.680862481
"142","a01","prac","b18","E2","Q3",8,"FOOOF","central",-1.478740852,1.474505239
"143","a01","prac","b18","E2","Q3",8,"FOOOF","parietal",-1.577178287,1.536746605
"144","a01","prac","b18","E2","Q3",8,"FOOOF","occipital",-1.629770423,1.541464615
"145","a01","prac","b19","E2","Q3",8,"LMER","frontal",-0.806293852,1.680135037
"146","a01","prac","b19","E2","Q3",8,"LMER","central",-1.509738548,3.585055465
"147","a01","prac","b19","E2","Q3",8,"LMER","parietal",-1.658048117,3.933832109
"148","a01","prac","b19","E2","Q3",8,"LMER","occipital",-1.597655581,3.744073878
"149","a01","prac","b19","E2","Q3",8,"FOOOF","frontal",-0.729671401,0.657380003
"150","a01","prac","b19","E2","Q3",8,"FOOOF","central",-1.458961381,1.46360315
"151","a01","prac","b19","E2","Q3",8,"FOOOF","parietal",-1.67029294,1.655223517
"152","a01","prac","b19","E2","Q3",8,"FOOOF","occipital",-1.649741163,1.581423947
"153","a01","prac","b20","E3","Q3",9,"LMER","frontal",-0.866661525,1.818464208
"154","a01","prac","b20","E3","Q3",9,"LMER","central",-1.531230253,3.627071706
"155","a01","prac","b20","E3","Q3",9,"LMER","parietal",-1.614387103,3.72224685
"156","a01","prac","b20","E3","Q3",9,"LMER","occipital",-1.488647674,3.429905488
"157","a01","prac","b20","E3","Q3",9,"FOOOF","frontal",-0.799254844,0.706463696
"158","a01","prac","b20","E3","Q3",9,"FOOOF","central",-1.488194672,1.501051318
"159","a01","prac","b20","E3","Q3",9,"FOOOF","parietal",-1.586951031,1.53072717
"160","a01","prac","b20","E3","Q3",9,"FOOOF","occipital",-1.545990506,1.45857369
"161","a02","prac","b01","N1","Q1",1,"LMER","frontal",-0.690101552,1.571654625
"162","a02","prac","b01","N1","Q1",1,"LMER","central",-1.264252584,3.011481315
"163","a02","prac","b01","N1","Q1",1,"LMER","parietal",-1.180240924,2.86072707
"164","a02","prac","b01","N1","Q1",1,"LMER","occipital",-1.029772558,2.647794159
"165","a02","prac","b01","N1","Q1",1,"FOOOF","frontal",-0.630109753,0.624486931
"166","a02","prac","b01","N1","Q1",1,"FOOOF","central",-1.174653223,1.162057131
"167","a02","prac","b01","N1","Q1",1,"FOOOF","parietal",-1.176917297,1.184123098
"168","a02","prac","b01","N1","Q1",1,"FOOOF","occipital",-1.089448371,1.147431601
"169","a02","prac","b02","N2","Q1",2,"LMER","frontal",-0.57513619,1.360506289
"170","a02","prac","b02","N2","Q1",2,"LMER","central",-1.276097887,2.983919702
"171","a02","prac","b02","N2","Q1",2,"LMER","parietal",-1.247424765,2.92485794
"172","a02","prac","b02","N2","Q1",2,"LMER","occipital",-1.076066405,2.644429071
"173","a02","prac","b02","N2","Q1",2,"FOOOF","frontal",-0.481274705,0.501785268
"174","a02","prac","b02","N2","Q1",2,"FOOOF","central",-1.12762724,1.090717481
"175","a02","prac","b02","N2","Q1",2,"FOOOF","parietal",-1.181604177,1.139327346
"176","a02","prac","b02","N2","Q1",2,"FOOOF","occipital",-1.1555331,1.148332885
"177","a02","prac","b03","P1","Q2",4,"LMER","frontal",-0.436570352,1.202908961
"178","a02","prac","b03","P1","Q2",4,"LMER","central",-1.28570712,3.164765971
"179","a02","prac","b03","P1","Q2",4,"LMER","parietal",-1.237208062,3.03722098
"180","a02","prac","b03","P1","Q2",4,"LMER","occipital",-1.036387494,2.680896608
"181","a02","prac","b03","P1","Q2",4,"FOOOF","frontal",-0.326579116,0.406700448
"182","a02","prac","b03","P1","Q2",4,"FOOOF","central",-1.193125968,1.230714976
"183","a02","prac","b03","P1","Q2",4,"FOOOF","parietal",-1.222283462,1.243179538
"184","a02","prac","b03","P1","Q2",4,"FOOOF","occipital",-1.071696036,1.127532639
"185","a02","prac","b04","P1","Q2",4,"LMER","frontal",-0.64708721,1.536777005
"186","a02","prac","b04","P1","Q2",4,"LMER","central",-1.270843726,3.058378478
"187","a02","prac","b04","P1","Q2",4,"LMER","parietal",-1.24588581,3.032893962
"188","a02","prac","b04","P1","Q2",4,"LMER","occipital",-0.980861059,2.577234321
"189","a02","prac","b04","P1","Q2",4,"FOOOF","frontal",-0.543275284,0.562217097
"190","a02","prac","b04","P1","Q2",4,"FOOOF","central",-1.191882905,1.211326223
"191","a02","prac","b04","P1","Q2",4,"FOOOF","parietal",-1.28257291,1.30279291
"192","a02","prac","b04","P1","Q2",4,"FOOOF","occipital",-1.076978088,1.152836685
"193","a02","prac","b05","P1","Q2",4,"LMER","frontal",-0.62829273,1.464738014
"194","a02","prac","b05","P1","Q2",4,"LMER","central",-1.242778851,2.979230675
"195","a02","prac","b05","P1","Q2",4,"LMER","parietal",-1.21335959,2.901940277
"196","a02","prac","b05","P1","Q2",4,"LMER","occipital",-1.034866879,2.592422459
"197","a02","prac","b05","P1","Q2",4,"FOOOF","frontal",-0.767822274,0.730227554
"198","a02","prac","b05","P1","Q2",4,"FOOOF","central",-1.193310055,1.186412622
"199","a02","prac","b05","P1","Q2",4,"FOOOF","parietal",-1.209793962,1.206544325
"200","a02","prac","b05","P1","Q2",4,"FOOOF","occipital",-1.08576112,1.103969225
"201","a02","prac","b06","P2","Q2",5,"LMER","frontal",-0.581880335,1.440442579
"202","a02","prac","b06","P2","Q2",5,"LMER","central",-1.309663192,3.149141904
"203","a02","prac","b06","P2","Q2",5,"LMER","parietal",-1.264809508,3.062760673
"204","a02","prac","b06","P2","Q2",5,"LMER","occipital",-1.051917548,2.659968335
"205","a02","prac","b06","P2","Q2",5,"FOOOF","frontal",-0.50606616,0.553046587
"206","a02","prac","b06","P2","Q2",5,"FOOOF","central",-1.208223523,1.215728971
"207","a02","prac","b06","P2","Q2",5,"FOOOF","parietal",-1.221164099,1.214905921
"208","a02","prac","b06","P2","Q2",5,"FOOOF","occipital",-1.104312833,1.15107192
"209","a02","prac","b07","P2","Q2",5,"LMER","frontal",-0.638360075,1.577608499
"210","a02","prac","b07","P2","Q2",5,"LMER","central",-1.313770328,3.165334023
"211","a02","prac","b07","P2","Q2",5,"LMER","parietal",-1.21114604,2.959473142
"212","a02","prac","b07","P2","Q2",5,"LMER","occipital",-0.968331817,2.548638306
"213","a02","prac","b07","P2","Q2",5,"FOOOF","frontal",-0.508954587,0.538677804
"214","a02","prac","b07","P2","Q2",5,"FOOOF","central",-1.195914368,1.224257163
"215","a02","prac","b07","P2","Q2",5,"FOOOF","parietal",-1.153515766,1.181965623
"216","a02","prac","b07","P2","Q2",5,"FOOOF","occipital",-1.070604356,1.132711745
"217","a02","prac","b08","P2","Q2",5,"LMER","frontal",-0.638501539,1.666677998
"218","a02","prac","b08","P2","Q2",5,"LMER","central",-1.287618686,3.175413426
"219","a02","prac","b08","P2","Q2",5,"LMER","parietal",-1.272161566,3.14201113
"220","a02","prac","b08","P2","Q2",5,"LMER","occipital",-1.108962337,2.770014405
"221","a02","prac","b08","P2","Q2",5,"FOOOF","frontal",-0.530528539,0.605260097
"222","a02","prac","b08","P2","Q2",5,"FOOOF","central",-1.168776741,1.216701281
"223","a02","prac","b08","P2","Q2",5,"FOOOF","parietal",-1.292831546,1.301586092
"224","a02","prac","b08","P2","Q2",5,"FOOOF","occipital",-1.196163799,1.209508544
"225","a02","prac","b09","P3","Q2",6,"LMER","frontal",-0.575517222,1.483428324
"226","a02","prac","b09","P3","Q2",6,"LMER","central",-1.302295046,3.187109809
"227","a02","prac","b09","P3","Q2",6,"LMER","parietal",-1.247066435,3.059231119
"228","a02","prac","b09","P3","Q2",6,"LMER","occipital",-1.036498476,2.646881096
"229","a02","prac","b09","P3","Q2",6,"FOOOF","frontal",-0.477290529,0.542485869
"230","a02","prac","b09","P3","Q2",6,"FOOOF","central",-1.333568078,1.359629573
"231","a02","prac","b09","P3","Q2",6,"FOOOF","parietal",-1.238398947,1.272109194
"232","a02","prac","b09","P3","Q2",6,"FOOOF","occipital",-1.112662433,1.151588956
"233","a02","prac","b10","P3","Q2",6,"LMER","frontal",-0.531714601,1.382743251
"234","a02","prac","b10","P3","Q2",6,"LMER","central",-1.349532839,3.303949279
"235","a02","prac","b10","P3","Q2",6,"LMER","parietal",-1.290582356,3.15285328
"236","a02","prac","b10","P3","Q2",6,"LMER","occipital",-1.078886493,2.671163531
"237","a02","prac","b10","P3","Q2",6,"FOOOF","frontal",-0.394096537,0.444418659
"238","a02","prac","b10","P3","Q2",6,"FOOOF","central",-1.208780037,1.260415452
"239","a02","prac","b10","P3","Q2",6,"FOOOF","parietal",-1.329255565,1.339715489
"240","a02","prac","b10","P3","Q2",6,"FOOOF","occipital",-1.162951274,1.168587555
"241","a02","prac","b11","N2","Q1",2,"LMER","frontal",-0.477211081,1.146135071
"242","a02","prac","b11","N2","Q1",2,"LMER","central",-1.241207145,2.949863911
"243","a02","prac","b11","N2","Q1",2,"LMER","parietal",-1.222338911,2.955035176
"244","a02","prac","b11","N2","Q1",2,"LMER","occipital",-1.060932388,2.679307259
"245","a02","prac","b11","N2","Q1",2,"FOOOF","frontal",-0.372035932,0.397278816
"246","a02","prac","b11","N2","Q1",2,"FOOOF","central",-1.159631336,1.161136369
"247","a02","prac","b11","N2","Q1",2,"FOOOF","parietal",-1.241656744,1.238720903
"248","a02","prac","b11","N2","Q1",2,"FOOOF","occipital",-1.190327872,1.190374632
"249","a02","prac","b12","P3","Q2",6,"LMER","frontal",-0.40001728,1.030958882
"250","a02","prac","b12","P3","Q2",6,"LMER","central",-1.176916455,2.853213332
"251","a02","prac","b12","P3","Q2",6,"LMER","parietal",-1.179679719,2.886506808
"252","a02","prac","b12","P3","Q2",6,"LMER","occipital",-1.063432299,2.749413527
"253","a02","prac","b12","P3","Q2",6,"FOOOF","frontal",-0.267678268,0.303678717
"254","a02","prac","b12","P3","Q2",6,"FOOOF","central",-1.087584574,1.106245293
"255","a02","prac","b12","P3","Q2",6,"FOOOF","parietal",-1.252765801,1.244783894
"256","a02","prac","b12","P3","Q2",6,"FOOOF","occipital",-1.195658102,1.222374643
"257","a02","prac","b13","E1","Q3",7,"LMER","frontal",-0.558703594,1.360326629
"258","a02","prac","b13","E1","Q3",7,"LMER","central",-1.40910013,3.448991768
"259","a02","prac","b13","E1","Q3",7,"LMER","parietal",-1.260508175,3.043991759
"260","a02","prac","b13","E1","Q3",7,"LMER","occipital",-1.048852889,2.682223799
"261","a02","prac","b13","E1","Q3",7,"FOOOF","frontal",-0.460784847,0.498261229
"262","a02","prac","b13","E1","Q3",7,"FOOOF","central",-1.487978833,1.514936845
"263","a02","prac","b13","E1","Q3",7,"FOOOF","parietal",-1.217583895,1.234050122
"264","a02","prac","b13","E1","Q3",7,"FOOOF","occipital",-1.094441321,1.139955192
"265","a02","prac","b14","P1","Q2",4,"LMER","frontal",-0.407444052,1.028439834
"266","a02","prac","b14","P1","Q2",4,"LMER","central",-1.362520786,3.384608964
"267","a02","prac","b14","P1","Q2",4,"LMER","parietal",-1.198826991,2.855678612
"268","a02","prac","b14","P1","Q2",4,"LMER","occipital",-1.058027868,2.627507309
"269","a02","prac","b14","P1","Q2",4,"FOOOF","frontal",-0.270430481,0.302508539
"270","a02","prac","b14","P1","Q2",4,"FOOOF","central",-1.308126,1.394403068
"271","a02","prac","b14","P1","Q2",4,"FOOOF","parietal",-1.211163362,1.17012974
"272","a02","prac","b14","P1","Q2",4,"FOOOF","occipital",-1.190402148,1.152219632
"273","a02","prac","b15","P2","Q2",5,"LMER","frontal",-0.503274098,1.222054464
"274","a02","prac","b15","P2","Q2",5,"LMER","central",-1.476163103,3.714608472
"275","a02","prac","b15","P2","Q2",5,"LMER","parietal",-1.24297302,3.015490746
"276","a02","prac","b15","P2","Q2",5,"LMER","occipital",-1.100938598,2.760716506
"277","a02","prac","b15","P2","Q2",5,"FOOOF","frontal",-0.402488859,0.434680543
"278","a02","prac","b15","P2","Q2",5,"FOOOF","central",-1.551746153,1.65218564
"279","a02","prac","b15","P2","Q2",5,"FOOOF","parietal",-1.267086884,1.267748062
"280","a02","prac","b15","P2","Q2",5,"FOOOF","occipital",-1.172987805,1.181767721
"281","a02","prac","b16","P2","Q2",5,"LMER","frontal",-0.460602396,1.157237439
"282","a02","prac","b16","P2","Q2",5,"LMER","central",-1.751275257,4.632850841
"283","a02","prac","b16","P2","Q2",5,"LMER","parietal",-1.241242789,3.029539977
"284","a02","prac","b16","P2","Q2",5,"LMER","occipital",-1.06857716,2.723505522
"285","a02","prac","b16","P2","Q2",5,"FOOOF","frontal",-0.341277681,0.37521263
"286","a02","prac","b16","P2","Q2",5,"FOOOF","central",-1.780820375,2.05571466
"287","a02","prac","b16","P2","Q2",5,"FOOOF","parietal",-1.250163093,1.267743302
"288","a02","prac","b16","P2","Q2",5,"FOOOF","occipital",-1.165970875,1.190381428
"289","a02","prac","b17","P2","Q2",5,"LMER","frontal",-0.5042933,1.253753396
"290","a02","prac","b17","P2","Q2",5,"LMER","central",-1.659463226,4.458026863
"291","a02","prac","b17","P2","Q2",5,"LMER","parietal",-1.165318223,2.864536311
"292","a02","prac","b17","P2","Q2",5,"LMER","occipital",-1.011521435,2.603248569
"293","a02","prac","b17","P2","Q2",5,"FOOOF","frontal",-0.381992496,0.418064423
"294","a02","prac","b17","P2","Q2",5,"FOOOF","central",-1.847188765,2.109630541
"295","a02","prac","b17","P2","Q2",5,"FOOOF","parietal",-1.170612144,1.172377314
"296","a02","prac","b17","P2","Q2",5,"FOOOF","occipital",-1.154507405,1.165133395
"297","a02","prac","b18","N2","Q1",2,"LMER","frontal",-0.4654889,1.11346175
"298","a02","prac","b18","N2","Q1",2,"LMER","central",-1.992479671,5.524264363
"299","a02","prac","b18","N2","Q1",2,"LMER","parietal",-1.211802017,2.912851632
"300","a02","prac","b18","N2","Q1",2,"LMER","occipital",-1.093741699,2.736538686
"301","a02","prac","b18","N2","Q1",2,"FOOOF","frontal",-0.333218703,0.342428145
"302","a02","prac","b18","N2","Q1",2,"FOOOF","central",-2.304286096,2.691900645
"303","a02","prac","b18","N2","Q1",2,"FOOOF","parietal",-1.276594822,1.246528017
"304","a02","prac","b18","N2","Q1",2,"FOOOF","occipital",-1.21172644,1.199388382
"305","a02","prac","b19","N1","Q1",1,"LMER","frontal",-0.413331074,1.046889952
"306","a02","prac","b19","N1","Q1",1,"LMER","central",-1.726189039,4.805579914
"307","a02","prac","b19","N1","Q1",1,"LMER","parietal",-1.231745752,2.995393394
"308","a02","prac","b19","N1","Q1",1,"LMER","occipital",-1.169701143,2.854356701
"309","a02","prac","b19","N1","Q1",1,"FOOOF","frontal",-0.288990179,0.326350371
"310","a02","prac","b19","N1","Q1",1,"FOOOF","central",-2.013725154,2.348103517
"311","a02","prac","b19","N1","Q1",1,"FOOOF","parietal",-1.22153943,1.223100348
"312","a02","prac","b19","N1","Q1",1,"FOOOF","occipital",-1.281519962,1.253142871
"313","a02","prac","b20","E3","Q3",9,"LMER","frontal",-0.744233824,1.732522365
"314","a02","prac","b20","E3","Q3",9,"LMER","central",-1.962614934,5.670976209
"315","a02","prac","b20","E3","Q3",9,"LMER","parietal",-1.354615388,3.318250228
"316","a02","prac","b20","E3","Q3",9,"LMER","occipital",-1.098641294,2.771036484
"317","a02","prac","b20","E3","Q3",9,"FOOOF","frontal",-0.486489884,0.447351507
"318","a02","prac","b20","E3","Q3",9,"FOOOF","central",-1.890919719,2.381303596
"319","a02","prac","b20","E3","Q3",9,"FOOOF","parietal",-1.393301454,1.418927404
"320","a02","prac","b20","E3","Q3",9,"FOOOF","occipital",-1.202346697,1.224766117
